Date,Name,Titles,Description,Years
07-07,,,,
07-08,,,,
07-09,,,,
07-10,,,,
07-11,,,,
07-12,,,,
07-13,,,,
07-14,,,,
07-15,,,,
07-16,,,,
07-17,,,,
07-18,,,,
07-19,,,,
07-20,,,,
07-21,,,,
07-22,,,,
07-23,,,,
07-24,,,,
07-25,,,,
07-26,,,,
07-27,,,,
07-28,,,,
07-29,,,,
07-30,,,,
07-31,,,,
08-01,,,,
08-02,,,,
08-03,,,,
08-04,,,,
08-05,,,,
08-06,,,,
08-07,,,,
08-08,,,,
08-09,,,,
08-10,,,,
08-11,,,,
08-12,,,,
08-13,,,,
08-14,,,,
08-15,,,,
08-16,,,,
08-17,,,,
08-18,,,,
08-19,,,,
08-20,,,,
08-21,,,,
08-22,,,,
08-23,,,,
08-24,,,,
08-25,,,,
08-26,,,,
08-27,,,,
08-28,,,,
08-29,,,,
08-30,,,,
08-31,,,,
09-01,,,,
09-02,,,,
09-03,,,,
09-04,,,,
09-05,,,,
09-06,,,,
09-07,,,,
09-08,,,,
09-09,,,,
09-10,,,,
09-11,,,,
09-12,,,,
09-13,,,,
09-14,,,,
09-15,,,,
09-16,,,,
09-17,,,,
09-18,,,,
09-19,,,,
09-20,,,,
09-21,,,,
09-22,,,,
09-23,,,,
09-24,,,,
09-25,,,,
09-26,,,,
09-27,,,,
09-28,,,,
09-29,,,,
09-30,,,,
10-01,,,,
10-02,,,,
10-03,,,,
10-04,,,,
10-05,,,,
10-06,,,,
10-07,,,,
10-08,,,,
10-09,,,,
10-10,,,,
10-11,,,,
10-12,,,,
10-13,,,,
10-14,,,,
10-15,,,,
10-16,,,,
10-17,,,,
10-18,,,,
10-19,,,,
10-20,,,,
10-21,,,,
10-22,,,,
10-23,,,,
10-24,,,,
10-25,,,,
10-26,,,,
10-27,,,,
10-28,,,,
10-29,,,,
10-30,,,,
10-31,,,,
11-01,All Saints,,,
11-02,,,,
11-03,,,,
11-04,,,,
11-05,,,,
11-06,,,,
11-07,,,,
11-08,,,,
11-09,,,,
11-10,,,,
11-11,St. Martin de Tours,,,
11-12,St. Martin I,Pope,,
11-13,,,,
11-14,,,,
11-15,,,,
11-16,,,,
11-17,,,,
11-18,,,,
11-19,St. Elizabeth of Hungary,Widow,"Hungarian princess who, inspired by St. Francis of Assisi, continually helped the poor throughout her life. When she was taking bread from the castle to the poor in secrecy, her husband and his friends encountered her. She was asked what she was carrying, and upon revealing it a vision of white and red roses appeared. Upon being widowed at the age of 20, she used her regained dowry money to open a hospital for the poor. ",1207-1231
11-20,St. Felix of Valois,Confessor,"Hermit who renounced worldly posessions to go live in a forest in Meaux, France. At seventy years of age, he helped start the Trinitiarian Order, which amongst its many works tried to rescue captives during the Crusades.",1127-1212
11-21,,,,
11-22,St. Cecilia,"Virgin, Martyr","Roman noblewoman who took a vow of virginity, but was forced into a marriage by her parents. She converted her husband, St. Valerian, who was martyred alongside her and two other saints, St. Maximus and St. Tiburtius.",200-235
11-23,St. Clement I,"Pope, Martyr","Pope and Apostolic Father who knew the Apostles well, observing and preserving their traditions. Writer of his letter from Rome to the Corinthians, one of the earliest examples of the special authority found in Rome. He was exiled to a prison, where he performed a miracle and converted the prisoners. He was martyred by drowning in the Black Sea, after an anchor had been tied around his neck.",Unknown-100
11-24,St. John of the Cross,"Confessor, Doctor",,
11-25,St. Catherine of Alexandria,"Virgin, Martyr","Daughter of Alexandrian governor Costus, she converted after experiencing a vision of the Blessed Virgin Mary and the Child Jesus. She vehemently opposed the persecution of Christians, for which she was confronted by 50 pagan advocates, leading to a debate that she ultimately won. She was condemned to death by a Roman execution method known as the ""breaking wheel"", which shattered at her touch. She was later executed by beheading, where milk flowed forth from her body instead of blood.",287-305
11-26,St. Sylvester,Abbott,"Italian priest who rebuked his local bishop for ongoing scandals in his diocese. He abandoned the world for life as a hermit in rural Italy, sleeping on the ground and eating raw herbs and water. He would go on to found his own religious order of monks, the Sylvesterines.",1177-1267
11-27,,,,
11-28,,,,
11-29,St. Saturninus,Martyr,,Circa 200-257
11-30,St. Andrew,Apostle,The First-Called Apostle of Jesus Christ.,5-60/70
12-01,,,,
12-02,,,,
12-03,,,,
12-04,St. Barbara,"Virgin, Martyr",,
12-05,,,,
12-06,,,,
12-07,,,,
12-08,,,,
12-09,,,,
12-10,,,,
12-11,,,,
12-12,,,,
12-13,,,,
12-14,,,,
12-15,,,,
12-16,,,,
12-17,,,,
12-18,,,,
12-19,,,,
12-20,,,,
12-21,,,,
12-22,,,,
12-23,,,,
12-24,,,,
12-25,,,,
12-26,,,,
12-27,,,,
12-28,,,,
12-29,,,,
12-30,,,,
12-31,St. Sylvester I,Pope,,285-335
